Region,age_group_name,sex_name,Nutrient,region_mean
West Africa,30 to 34,Female,Sugar,20.1138633540786
West Africa,30 to 34,Male,PUFA,1.2455766693052528
West Africa,30 to 34,Male,Sodium,2.6493656445499028
West Africa,30 to 34,Male,Sugar,17.12411390384178
West Africa,35 to 39,Female,PUFA,1.2028746030388124
West Africa,35 to 39,Female,Sodium,2.5462511847191847
West Africa,35 to 39,Female,Sugar,17.12151047457962
West Africa,35 to 39,Male,PUFA,1.2626621380692444
West Africa,35 to 39,Male,Sodium,2.668942485335445
West Africa,35 to 39,Male,Sugar,14.331059167946185
West Africa,40 to 44,Female,PUFA,1.2213331529754337
West Africa,40 to 44,Female,Sodium,2.5202466105591723
West Africa,40 to 44,Female,Sugar,14.612538903285829
West Africa,40 to 44,Male,PUFA,1.2803138196826371
West Africa,40 to 44,Male,Sodium,2.6509983825917054
West Africa,40 to 44,Male,Sugar,12.339582674138805
West Africa,45 to 49,Female,PUFA,1.2359445399069315
West Africa,45 to 49,Female,Sodium,2.814155915690101
West Africa,45 to 49,Female,Sugar,12.972723651973695
West Africa,45 to 49,Male,PUFA,1.298122487484322
West Africa,45 to 49,Male,Sodium,2.8926391106930556
West Africa,45 to 49,Male,Sugar,10.99213655305924
West Africa,50 to 54,Female,PUFA,1.254310662057665
West Africa,50 to 54,Female,Sodium,2.9796686020109044
West Africa,50 to 54,Female,Sugar,11.723285969781161
West Africa,50 to 54,Male,PUFA,1.318265517394608
West Africa,50 to 54,Male,Sodium,3.0137875686723428
West Africa,50 to 54,Male,Sugar,9.95928600858514
West Africa,55 to 59,Female,PUFA,1.2680477707854028
West Africa,55 to 59,Female,Sodium,3.0521663603331137
West Africa,55 to 59,Female,Sugar,10.442208087409407
West Africa,55 to 59,Male,PUFA,1.3293126703025175
West Africa,55 to 59,Male,Sodium,3.0867933236823553
West Africa,55 to 59,Male,Sugar,8.992940175432784
West Africa,60 to 64,Female,PUFA,1.2703841305078696
West Africa,60 to 64,Female,Sodium,3.0188486706407685
West Africa,60 to 64,Female,Sugar,9.67750471086513
West Africa,60 to 64,Male,PUFA,1.3299033415219217
West Africa,60 to 64,Male,Sodium,3.0504907860488912
West Africa,60 to 64,Male,Sugar,8.298092687264337
West Africa,65 to 69,Female,PUFA,1.2683053177820165
West Africa,65 to 69,Female,Sodium,2.9623503263684263
West Africa,65 to 69,Female,Sugar,9.106564045256373
West Africa,65 to 69,Male,PUFA,1.3256168976163825
West Africa,65 to 69,Male,Sodium,3.007153292151321
West Africa,65 to 69,Male,Sugar,7.8747339232776525
West Africa,70 to 74,Female,PUFA,1.2537724689542469
West Africa,70 to 74,Female,Sodium,2.802082806066837
West Africa,70 to 74,Female,Sugar,8.601106342400428
West Africa,70 to 74,Male,PUFA,1.314772981169966
West Africa,70 to 74,Male,Sodium,2.8877107324373044
West Africa,70 to 74,Male,Sugar,7.477728827590255
